front,back,CLEP Trap
Behaviorism,"A theoretical perspective that focuses only on observable behavior, ignoring internal mental states. Learning is defined as a change in behavior due to experience.","N/A"
John B. Watson,"The father of behaviorism, famous for the 'Little Albert' experiment which proved fear could be conditioned.","N/A"
Law of Effect,"Proposed by Thorndike: Behaviors followed by favorable consequences are more likely to occur; those followed by unfavorable consequences are less likely.","This is the foundation for Skinner's Operant Conditioning."
Classical Conditioning,"Learning through association where a neutral stimulus becomes capable of eliciting a response after being paired with a stimulus that naturally causes the response (Pavlov).","Confused with Operant Conditioning (which relies on consequences, not association)."
Unconditioned Stimulus (UCS),"In classical conditioning, the thing that naturally triggers a response without any learning (e.g., food, loud noise).","N/A"
Unconditioned Response (UCR),"In classical conditioning, the natural, unlearned reaction to a stimulus (e.g., salivating at food).","N/A"
Conditioned Stimulus (CS),"In classical conditioning, a previously neutral stimulus that, after association with the UCS, triggers a reaction (e.g., the bell).","N/A"
Conditioned Response (CR),"In classical conditioning, the learned reaction to the Conditioned Stimulus (e.g., salivating at the bell).","The CR is usually the same action as the UCR, but it is triggered by the CS instead of the UCS."
Generalization (Classical Conditioning),"Responding to stimuli that are similar to the Conditioned Stimulus (e.g., fearing all dogs after being bitten by one).","N/A"
Discrimination (Classical Conditioning),"Responding ONLY to the specific Conditioned Stimulus and not similar ones (e.g., fearing the math teacher but not the history teacher).","N/A"
Extinction (Classical Conditioning),"The weakening of the Conditioned Response when the CS is presented without the UCS repeatedly.","Confused with forgetting; it is unlearning the association."
Operant Conditioning,"Learning in which voluntary behavior is strengthened or weakened by consequences (Skinner).","Confused with Classical Conditioning (which deals with involuntary/reflexive responses)."
Positive Reinforcement,"ADDING a pleasant stimulus to INCREASE a behavior (e.g., giving gold stars).","'Positive' means adding something, not necessarily 'good' in a moral sense."
Negative Reinforcement,"REMOVING an unpleasant stimulus to INCREASE a behavior (e.g., waiving homework if classwork is done).","TRAP: Often confused with Punishment. Negative Reinforcement INCREASES behavior; Punishment DECREASES behavior."
Positive Punishment,"ADDING an unpleasant stimulus to DECREASE a behavior (e.g., giving detention).","'Positive' means adding a stimulus (even a bad one)."
Negative Punishment,"REMOVING a pleasant stimulus to DECREASE a behavior (e.g., taking away a phone).","Confused with Negative Reinforcement. Ask: Is the behavior increasing or decreasing?"
Continuous Reinforcement,"Reinforcing EVERY correct response. This is best for teaching NEW behaviors.","N/A"
Fixed Ratio Schedule,"Reward is given after a set NUMBER of responses. Result: High response rate with a pause after reward.","N/A"
Variable Ratio Schedule,"Reward is given after an unpredictable NUMBER of responses (e.g., slot machines). Result: High, steady rate; most resistant to extinction.","TRAP: This is the schedule most resistant to extinction."
Fixed Interval Schedule,"Reward is given for the first response after a set TIME period. Result: 'Scalloped' pattern (cramming before the time is up).","N/A"
Variable Interval Schedule,"Reward is given for the first response after changing TIME periods (e.g., pop quizzes). Result: Slow, steady response.","N/A"
Shaping,"Reinforcing successive approximations toward a target goal (e.g., reinforcing holding a pencil, then scribbling, then writing).","N/A"
Premack Principle,"Using a high-frequency (preferred) activity as a reinforcer for a low-frequency (less preferred) activity (e.g., 'Eat your veggies, then you get dessert').","Also known as 'Grandma's Rule'."
Token Economy,"A system where tokens are earned for good behavior and exchanged for backup reinforcers (prizes). Common in special ed and clinical settings.","N/A"
Satiation,"Encouraging a behavior so much that the student gets sick of it and stops (e.g., letting a student throw spitballs until tired of it).","Risky strategy, but tested."
Sensory Register,"The first stage of memory that holds raw sensory data for a very brief time (1-3 seconds). Requires ATTENTION to move info to working memory.","N/A"
Working Memory (Short-Term),"The 'workbench' of the mind where conscious processing happens. Limited capacity (7 +/- 2 items) and duration (20-30 secs).","N/A"
Chunking,"Grouping bits of information into larger, meaningful units to extend working memory capacity.","N/A"
Maintenance Rehearsal,"Rote repetition to keep information in working memory.","Less effective for long-term learning than Elaborative Rehearsal."
Elaborative Rehearsal,"Connecting new information to existing long-term memory (deep processing).","The preferred method for meaningful learning."
Episodic Memory,"Long-term memory of personal experiences and events (e.g., your prom).","N/A"
Semantic Memory,"Long-term memory of facts, concepts, and rules (e.g., 2+2=4).","N/A"
Procedural Memory,"Long-term memory of 'how-to' skills (e.g., riding a bike). Often unconscious.","N/A"
Proactive Interference,"When OLD information blocks the recall of NEW information (e.g., old phone number blocks new one).","TRAP: Confused with Retroactive. Focus on what is being forgotten (the NEW info)."
Retroactive Interference,"When NEW information wipes out or blocks OLD information (e.g., learning Spanish makes you forget French).","TRAP: Focus on what is being forgotten (the OLD info)."
Serial Position Effect,"The tendency to remember the beginning (Primacy) and end (Recency) of a list best, forgetting the middle.","N/A"
Metacognition,"Knowledge about one's own thinking processes ('Thinking about thinking'). Includes planning, monitoring, and evaluating.","N/A"
Algorithm,"A step-by-step procedure that GUARANTEES a solution (e.g., a recipe).","N/A"
Heuristic,"A general rule of thumb or mental shortcut that usually works but isn't guaranteed (e.g., guessing).","N/A"
Functional Fixedness,"The inability to use an object or tool for a new function (e.g., not realizing a shoe can be a hammer).","N/A"
Positive Transfer,"When prior learning HELPS new learning (e.g., Latin helps Spanish).","N/A"
Negative Transfer,"When prior learning HINDERS new learning (e.g., driving on the right hinders driving on the left).","N/A"
Schema,"Mental building blocks or 'folders' used to organize information (Piaget).","N/A"
Assimilation,"Fitting new information into an EXISTING schema (e.g., calling a zebra a 'horse').","Confused with Accommodation. Assimilation changes the info to fit the schema."
Accommodation,"Changing an existing schema or creating a new one to fit new information (e.g., creating a 'zebra' schema).","Confused with Assimilation. Accommodation changes the schema to fit the info."
Equilibration,"The drive to find balance between assimilation and accommodation. Disequilibrium motivates learning.","N/A"
Object Permanence,"The realization that objects exist even when unseen. Developed during the Sensorimotor stage (0-2 years).","N/A"
Preoperational Stage,"Piaget's second stage (2-7 years). Characterized by symbolic thought, egocentrism, and lack of conservation.","N/A"
Egocentrism (Piaget),"Inability to see things from another's perspective. Characteristic of the Preoperational stage.","N/A"
Conservation,"Understanding that quantity stays the same despite changes in shape/appearance. Lacking in Preoperational; developed in Concrete Operational.","Classic test: Water in tall vs wide glass."
Concrete Operational Stage,"Piaget's third stage (7-11 years). Characterized by logical thinking about concrete objects and mastery of conservation.","Cannot yet think abstractly or hypothetically."
Formal Operational Stage,"Piaget's fourth stage (11+ years). Characterized by abstract thinking, hypotheticals, and deductive reasoning.","N/A"
Zone of Proximal Development (ZPD),"The gap between what a learner can do alone and what they can do with help. Where learning happens (Vygotsky).","N/A"
Scaffolding,"Temporary support given by a More Knowledgeable Other to help a learner in the ZPD.","N/A"
Private Speech,"Children talking to themselves. Vygotsky viewed it as self-regulation (good); Piaget viewed it as egocentric (immature).","TRAP: Know the difference in interpretation between Vygotsky and Piaget."
Erikson Stage 4: Industry vs. Inferiority,"Age 6-12 (Elementary). Key crisis: Competence in schoolwork and social setting. Failure leads to inferiority.","CRITICAL STAGE for Ed Psych. Mnemonic: 'Dusty Dinosaur' (Industry/Dust)."
Erikson Stage 5: Identity vs. Role Confusion,"Adolescence (12-18). Key crisis: 'Who am I?'. Peer relationships are dominant.","Mnemonic: 'Sky Dive' (Identity/Dent)."
Kohlberg Pre-conventional Morality,"Morality based on self-interest: avoiding punishment (Stage 1) or getting rewards (Stage 2).","Focus is on SELF."
Kohlberg Conventional Morality,"Morality based on social laws and rules: seeking approval (Stage 3) or obeying authority (Stage 4).","Focus is on SOCIETY/RULES."
Kohlberg Post-conventional Morality,"Morality based on universal principles and ethics (Stage 5/6). Laws can be broken if unjust.","Rarely reached by everyone."
Intrinsic Motivation,"Doing an activity for its own sake (enjoyment, curiosity).","N/A"
Extrinsic Motivation,"Doing an activity for a reward or to avoid punishment.","N/A"
Overjustification Effect,"Giving an extrinsic reward for something already intrinsically motivated can DECREASE the intrinsic motivation.","Trap: Don't reward students for what they already love doing."
Attribution Theory,"How students explain their successes and failures (Weiner). Dimensions: Locus, Stability, Controllability.","N/A"
Learned Helplessness,"Result of attributing failure to Internal, Stable, and Uncontrollable causes ('I'm stupid and can't change it').","N/A"
Self-Efficacy,"Belief in one's capability to execute a SPECIFIC task (Bandura).","Confused with Self-Concept (which is general). Self-Efficacy is task-specific."
Mastery Goals (Learning Goals),"Focus on improving and understanding. Errors are part of learning.","Better for long-term success than Performance Goals."
Performance Goals,"Focus on looking good or getting high grades. Errors are viewed as failure.","N/A"
Maslow's Deficiency Needs,"Needs that must be met first: Physiological, Safety, Belonging, Esteem.","If a student is sleeping/hungry, these needs override learning."
Spearman's g,"General Intelligence factor. If you are good at one area, you are likely good at others.","N/A"
Gardner's Multiple Intelligences,"Theory that there are 8 distinct, independent intelligences (e.g., Linguistic, Musical, Interpersonal).","Opposite of Spearman's g."
Sternberg's Triarchic Theory,"Intelligence has 3 parts: Analytical (book smart), Creative (novelty), and Practical (street smart).","N/A"
Field Dependence,"Cognitive style: Perceives patterns as a whole, socially oriented, prefers group work and structure.","N/A"
Field Independence,"Cognitive style: Perceives separate parts, task-oriented, prefers working alone.","N/A"
IDEA (Individuals with Disabilities Education Act),"Federal law guaranteeing Free Appropriate Public Education (FAPE) to students with disabilities.","N/A"
Least Restrictive Environment (LRE),"Students must be educated with non-disabled peers to the maximum extent appropriate.","Does not always mean full inclusion, but 'appropriate' inclusion."
IEP (Individualized Education Program),"Legal document detailing goals and services for a student with a disability. Created by a team.","N/A"
Section 504,"Civil rights law for students who need accommodations (e.g., ADHD) but not specialized instruction (IEP).","N/A"
Learning Disability (LD),"Significant gap between POTENTIAL (IQ) and ACHIEVEMENT. Not caused by low IQ or sensory issues.","Trap: LD students often have average or above-average intelligence."
Formative Assessment,"Assessment used DURING instruction to guide teaching. Low stakes (e.g., exit ticket).","N/A"
Summative Assessment,"Assessment used AFTER instruction to judge mastery. High stakes (e.g., final exam).","N/A"
Norm-Referenced Test,"Compares a student's score to OTHERS (e.g., grading on a curve, percentile rank).","N/A"
Criterion-Referenced Test,"Compares a student's score to a STANDARD (e.g., driver's license test, '80% correct').","N/A"
Reliability,"The consistency of test results (e.g., getting the same score twice).","N/A"
Validity,"Does the test measure what it is supposed to measure?.","TRAP: A test can be reliable but NOT valid. It cannot be valid unless it is reliable."
Median,"The middle score in a distribution. Best measure of central tendency when there are extreme outliers.","TRAP: Use Median, not Mean, when outliers are present."
Standard Deviation,"A measure of how spread out the scores are from the mean.","Low SD = scores clustered; High SD = scores spread out."
Percentile Rank,"Percentage of people scoring AT or BELOW a given score.","TRAP: 90th percentile does NOT mean you got 90% of questions right."
Grade Equivalent Score,"A score (e.g., 5.2) indicating performance equal to an average student of that grade/month.","TRAP: 5.2 does NOT mean a 2nd grader is ready for 5th grade work."
Direct Instruction,"Teacher-centered, structured, explicit teaching. Best for basic skills and facts.","N/A"
Discovery Learning,"Student-centered approach where students figure out rules themselves (Bruner).","N/A"
Advance Organizers,"Introductory material given BEFORE a lesson to help students organize new info (Ausubel).","N/A"
Cooperative Learning,"Students working in mixed-ability groups. Requires Positive Interdependence and Individual Accountability.","TRAP: Must have individual accountability to avoid 'hitchhiking'."
Jigsaw Classroom,"Cooperative learning method where each student becomes an expert on one part and teaches others.","Ensures interdependence."
Withitness,"Teacher's awareness of what is going on in all parts of the room at all times (Kounin).","'Eyes in the back of the head'."
Ripple Effect,"Correcting one student's behavior influences others to behave (Kounin).","N/A"
Bloom's Taxonomy,"Hierarchy of thinking skills: Remember, Understand, Apply, Analyze, Evaluate, Create.","N/A"
Correlational Research,"Measures the relationship between variables. DOES NOT prove cause and effect.","TRAP: Correlation is not Causation."
Correlation Coefficient (r),"Number from -1.0 to +1.0 indicating strength and direction of relationship.","0 means no relationship."
Experimental Research,"Research that manipulates variables and uses Random Assignment. The ONLY method to prove cause-and-effect.","N/A"
Independent Variable,"The variable the researcher changes or manipulates (e.g., teaching method).","N/A"
Dependent Variable,"The variable being measured (e.g., test scores).","N/A"
Longitudinal Study,"Studying the SAME people over a long period of time.","Pros: tracks growth. Cons: expensive, attrition."
Cross-Sectional Study,"Studying different age groups at the SAME time.","Pros: fast. Cons: cohort effects."