Question,Option A,Option B,Option C,Option D,Option E,Answer
"Which of the following theorists is most associated with the concept of the ""Zone of Proximal Development""?",Jean Piaget,Lev Vygotsky,B.F. Skinner,Erik Erikson,Lawrence Kohlberg,B
"A teacher gives a student a sticker every time they raise their hand to speak. This is an example of which behavioral concept?",Negative Reinforcement,Positive Punishment,Positive Reinforcement,Classical Conditioning,Modeling,C
"According to Jean Piaget, children in the Preoperational stage often struggle with which of the following concepts?",Object Permanence,Symbolic Thought,Conservation,Abstract Logic,Reflexive Actions,C
"In the context of classical conditioning, what is the term for a stimulus that naturally triggers a response without any prior learning?",Conditioned Stimulus (CS),Neutral Stimulus (NS),Unconditioned Stimulus (UCS),Conditioned Response (CR),Operant Stimulus (OS),C
"A student studies hard to avoid the unpleasant feeling of failing a test. This behavior is being maintained by:",Positive Reinforcement,Negative Reinforcement,Positive Punishment,Negative Punishment,Extinction,B
"Which schedule of reinforcement involves providing a reward after an unpredictable number of responses, such as in a slot machine?",Fixed Ratio,Fixed Interval,Variable Ratio,Variable Interval,Continuous Reinforcement,C
"The process of grouping individual bits of information into larger, meaningful units to increase working memory capacity is known as:",Encoding,Chunking,Retrieval,Scaffolding,Serializing,B
"Which type of long-term memory involves the recollection of personal experiences and specific events, such as one's prom or sixth birthday?",Semantic Memory,Procedural Memory,Episodic Memory,Iconic Memory,Echoic Memory,C
"A student creates a mental image of a ""dusty dinosaur"" to remember Erikson's stage of Industry vs. Inferiority. This memory strategy is best described as:",Rote Memorization,Elaborative Rehearsal,Maintenance Rehearsal,Chunking,Method of Loci,B
"According to Erik Erikson, the primary psychosocial crisis faced by adolescents is:",Trust vs. Mistrust,Industry vs. Inferiority,Identity vs. Role Confusion,Intimacy vs. Isolation,Generativity vs. Stagnation,C
"If a student attributes their failure on a math test to ""bad luck"" or ""a noisy room,"" they are demonstrating an:",Internal Locus of Control,External Locus of Control,Self-Efficacy Deficit,Incremental View of Intelligence,Entity View of Intelligence,B
"Which of the following best describes ""metacognition""?",The ability to memorize large amounts of data,Thinking about one's own thinking processes,The measurement of intelligence,The process of forgetting information,The physiological basis of learning,B
"A teacher uses a ""token economy"" in the classroom. This practice is most closely aligned with which learning theory?",Cognitivism,Humanism,Behaviorism,Constructivism,Social Learning Theory,C
"According to Maslow's Hierarchy of Needs, which of the following must be met before a student can focus on self-actualization?",Cognitive needs,Aesthetic needs,Physiological needs,Transcendence needs,Intellectual needs,C
"A high school student who strictly obeys laws because ""they are the laws"" and maintain social order is likely in which stage of Kohlberg's moral development?",Pre-conventional (Stage 1),Pre-conventional (Stage 2),Conventional (Stage 3),Conventional (Stage 4),Post-conventional (Stage 5),D
"Which type of assessment is used primarily to guide instruction and provide feedback during the learning process, rather than to measure final mastery?",Summative Assessment,Norm-Referenced Assessment,Formative Assessment,Standardized Assessment,Aptitude Assessment,C
"If a test yields consistent results every time it is administered but does not accurately measure what it claims to measure, the test is:",Valid but not Reliable,Reliable but not Valid,Neither Valid nor Reliable,Both Valid and Reliable,Standardized but not Normed,B
"Which of the following correlation coefficients indicates the strongest relationship between two variables?",0.10,-0.85,0.60,0.00,-0.40,B
"The ""Pygmalion Effect"" in an educational setting refers to:",The impact of teacher expectations on student performance,The effect of nutrition on cognitive development,The role of peer pressure in adolescence,The decline of memory with age,The influence of socioeconomic status on IQ,A
"A student who prefers to work alone and is good at analyzing details independent of the context is said to have which cognitive style?",Field Dependent,Field Independent,Impulsive,Reflective,Kinesthetic,B
"Which federal law guarantees a ""Free Appropriate Public Education"" (FAPE) to students with disabilities in the United States?",NCLB (No Child Left Behind),ESSA (Every Student Succeeds Act),IDEA (Individuals with Disabilities Education Act),Title IX,FERPA,C
"In a normal distribution (bell curve), approximately what percentage of scores fall within one standard deviation of the mean?",50%,68%,95%,99%,34%,B
"The removal of a pleasant stimulus to decrease an unwanted behavior (e.g., taking away a cell phone) is known as:",Positive Reinforcement,Negative Reinforcement,Positive Punishment,Negative Punishment,Satiation,D
"Albert Bandura's concept of ""Self-Efficacy"" refers to:",Global self-esteem,A belief in one's capability to execute a specific task,The ability to regulate emotions,General intelligence (g),The drive to self-actualize,B
"Which instructional strategy involves students working in small, mixed-ability groups where each member is responsible for a specific part of the content (Jigsaw)?",Direct Instruction,Cooperative Learning,Discovery Learning,Expository Teaching,Mastery Learning,B
"According to Sternberg's Triarchic Theory of Intelligence, which three components make up intelligence?",Verbal/Performance/Memory,Analytical/Creative/Practical,Linguistic/Logical/Spatial,Fluid/Crystallized/General,Visual/Auditory/Kinesthetic,B
"A researcher studies the same group of students over a period of 10 years to track their reading progress. This is an example of a:",Cross-Sectional Study,Longitudinal Study,Correlational Study,Case Study,Ethnography,B
"""Scaffolding"" is a concept most closely associated with which theorist?",Jean Piaget,B.F. Skinner,Lev Vygotsky,Jerome Bruner,John Dewey,C
"A student calls a zebra a ""horse"" because it fits their existing schema for four-legged animals. Piaget would call this process:",Accommodation,Assimilation,Equilibration,Object Permanence,Seriation,B
"If a student has a percentile rank of 90 on a standardized test, this means:",They answered 90% of the questions correctly,They scored higher than 90% of the students in the norm group,They are in the top 10% of their class,They received a grade of A-,They missed 10 questions,B
"Which of the following is an example of an ""internal, unstable, and controllable"" attribution for failure?",""I failed because the teacher hates me."",""I failed because I am not smart."",""I failed because the test was unfair."",""I failed because I didn't study the right way."",""I failed because I had bad luck."",D
"The ""Premack Principle"" suggests that:",Low-frequency behaviors can be used to reinforce high-frequency behaviors,High-frequency behaviors can be used to reinforce low-frequency behaviors,Punishment is more effective than reinforcement,Learning occurs best through observation,Intelligence is fixed at birth,B
"In the information processing model, the ""Sensory Register"" is characterized by:",Small capacity and long duration,Large capacity and very short duration,Limited capacity (7 +/- 2 items),Permanent storage,Active processing,B
"A teacher who anticipates problems before they escalate and seems to have ""eyes in the back of their head"" is demonstrating Kounin's concept of:",Overlapping,Ripple Effect,Withitness,Momentum,Smoothness,C
"Bloom's Taxonomy level that involves breaking information into parts to explore understandings and relationships is:",Remembering,Understanding,Applying,Analyzing,Evaluating,D
"Which theorist is associated with the concept of ""Multiple Intelligences""?",Charles Spearman,Robert Sternberg,Howard Gardner,Alfred Binet,David Wechsler,C
""""Learned Helplessness"" is most likely to occur when a student attributes failure to causes that are:",Internal/Unstable/Controllable,External/Unstable/Uncontrollable,Internal/Stable/Uncontrollable,External/Stable/Controllable,Internal/Unstable/Uncontrollable,C
"The ""Law of Effect,"" which states that behaviors followed by favorable consequences are more likely to be repeated, was proposed by:",Ivan Pavlov,B.F. Skinner,Edward Thorndike,John B. Watson,Albert Bandura,C
"A test designed to predict a student's ability to learn a new language would be classified as an:",Achievement Test,Aptitude Test,Diagnostic Test,Summative Test,Criterion-Referenced Test,B
"According to Piaget, the ability to solve abstract problems and think scientifically emerges during which stage?",Sensorimotor,Preoperational,Concrete Operational,Formal Operational,Post-Formal,D
"Which of the following is considered a ""deficiency need"" in Maslow's hierarchy?",Self-Actualization,Aesthetic needs,Need to know and understand,Esteem needs,Transcendence,D
"Interference theory suggests that forgetting is caused by:",Decay of memory traces over time,Competing information blocking retrieval,Emotional repression,Physical brain trauma,Lack of consolidation during sleep,B
"A student learns to fear a white rat, and subsequently reacts with fear to a white rabbit and a white fur coat. This is an example of:",Discrimination,Generalization,Extinction,Spontaneous Recovery,Shaping,B
"The concept of ""General Intelligence"" (g factor) was proposed by:",Howard Gardner,Charles Spearman,Louis Thurstone,Robert Sternberg,Daniel Goleman,B
"Which law requires that students be educated in the ""Least Restrictive Environment"" (LRE)?",No Child Left Behind,Title I,Section 504,IDEA,ADA,D
"In an experiment, the variable that is manipulated by the researcher is called the:",Dependent Variable,Confounding Variable,Independent Variable,Control Variable,Random Variable,C
""""Discovery Learning"" is an instructional approach most closely associated with:",B.F. Skinner,Jerome Bruner,Albert Bandura,David Ausubel,Ivan Pavlov,B
"If a student studies Spanish and finds that it helps them learn Italian later, this is an example of:",Negative Transfer,Zero Transfer,Positive Transfer,Specific Transfer,General Transfer,C
"According to Erikson, the stage of ""Generativity vs. Stagnation"" typically occurs during:",Adolescence,Young Adulthood,Middle Adulthood,Late Adulthood,Early Childhood,C
"A standard deviation is a measure of:",Central tendency,Validity,Reliability,Variability or spread,Correlation,D
"Which of the following best describes ""Constructivism""?",Learning is a passive absorption of facts,Knowledge is actively built by the learner,Behavior is determined by consequences,Intelligence is genetically fixed,Learning requires direct instruction only,B
"The ""serial position effect"" predicts that individuals are most likely to forget which part of a list?",The beginning,The middle,The end,The beginning and the end,The items that are most distinct,B
"""Encoding Specificity"" refers to the idea that:",Memory is improved when information is processed deeply,Recall is better when the context at retrieval matches the context at encoding,Short-term memory has a limited capacity,Forgetting is due to decay,Mnemonic devices are essential for learning,B
"Which theorist challenged Kohlberg's theory of moral development for being biased against women?",Mary Ainsworth,Carol Gilligan,Maria Montessori,Elizabeth Loftus,Anna Freud,B
"A student is given a time-out (removed from a fun activity) for hitting a classmate. This is an example of:",Positive Reinforcement,Negative Reinforcement,Positive Punishment,Negative Punishment,Response Cost,D
"Which of the following is a characteristic of ""Direct Instruction""?",Student-led inquiry,Discovery-based learning,Structured/Explicit teaching of skills,Emphasis on group projects,Unstructured exploration,C
"According to Vygotsky, children use ""Private Speech"" to:",Communicate with peers,Self-regulate and guide their own thinking,Get attention from adults,Express egocentrism,Practice pronunciation,B
"The ""Jacobson"" or ""Pygmalion"" study found that when teachers were told certain students were ""bloomers"":",Those students showed no change,Those students actually performed worse,Those students made significant academic gains,The teachers treated all students the same,The students dropped out of school,C
"Which cognitive strategy involves repeating information over and over to keep it in working memory?",Elaborative Rehearsal,Maintenance Rehearsal,Chunking,Metacognition,Mnemonics,B
"Which of the following is an example of ""Proactive Interference""?",Learning a new password makes you forget your old one,Your old phone number makes it hard to remember your new one,A head injury causes memory loss of recent events,Traumatic events are repressed,Old memories fade due to disuse,B
"Sternberg's ""Practical Intelligence"" is often referred to as:",Book smarts,Creative insight,Street smarts,Emotional intelligence,Academic aptitude,C
"Which of the following is NOT a requirement of an Individualized Education Program (IEP)?",Present levels of performance,Specific educational goals,Evaluation of progress,Guarantee of a high school diploma,Services to be provided,D
""""Cognitive Dissonance"" refers to:",The mental stress caused by holding two conflicting beliefs,The inability to focus attention,The loss of memory due to age,The rapid growth of synapses in childhood,The hierarchy of needs,A
"Which schedule of reinforcement produces a ""scalloped"" response pattern (low activity followed by a burst before the reward)?",Fixed Ratio,Variable Ratio,Fixed Interval,Variable Interval,Continuous,C
"According to Piaget, the process of ""Accommodation"" involves:",Fitting new information into existing schemas,Ignoring information that doesn't fit,Creating new schemas or modifying old ones to fit new information,Returning to an earlier stage of development,Using symbols to represent objects,C
"Which type of research can establish a cause-and-effect relationship?",Correlational Research,Descriptive Research,Experimental Research,Observational Research,Survey Research,C
""""Field Dependence"" is a cognitive style characterized by:",A preference for working alone,Ability to perceive parts distinct from the whole,Reliance on external structure and social context,High analytical ability,Disregard for authority,C
"The ""Visual Cliff"" experiment was designed to test:",Color vision in infants,Depth perception in infants,Attachment styles,Object permanence,Fear conditioning,B
"Which of the following is an example of an ""Advance Organizer""?",A pop quiz at the end of class,A summary given after the lesson,A concept map or outline presented before the lesson,A group project,A homework assignment,C
"According to Erikson, the crisis of ""Autonomy vs. Shame and Doubt"" occurs during which age range?",Infancy (0-1),Toddlerhood (1-3),Preschool (3-6),School Age (6-12),Adolescence (12-18),B
"A correlation coefficient of -0.90 indicates:",A weak negative relationship,A strong negative relationship,A weak positive relationship,A strong positive relationship,No relationship,B
"Which of the following best describes ""Criterion-Referenced"" grading?",Grading on a curve,Comparing a student's score to the class average,Measuring performance against a specific standard or objective,Ranking students from highest to lowest,Using percentile ranks,C
"The belief that intelligence is a fixed trait that cannot be changed is known as:",Incremental Theory,Entity Theory,Multiple Intelligence Theory,Triarchic Theory,Fluid Intelligence,B
"Which part of the brain is most associated with the formation of new explicit memories (often discussed in relation to HM)?",Cerebellum,Amygdala,Hippocampus,Frontal Lobe,Occipital Lobe,C
"Which of the following actions best demonstrates ""Withitness""?",Ignoring a student who is sleeping,Correcting a disruptive student while continuing the lesson,Stopping the lesson to find a lost pencil,Yelling at the whole class for the actions of one student,Teaching without looking at the students,B
"According to behaviorism, learning is defined as:",A change in internal mental structures,A change in observable behavior due to experience,The development of self-actualization,The unfolding of genetic programming,The acquisition of wisdom,B
"Which of the following scenarios best illustrates ""Negative Transfer""?",Knowing how to play tennis helps you play racquetball,Knowing how to drive a car helps you drive a truck,Knowing how to read music helps you learn a new instrument,Driving on the right side of the road makes it hard to drive on the left in the UK,Learning to add helps you learn to multiply,D
"The ""Flynn Effect"" refers to:",The tendency for IQ scores to increase over generations,The decline of fluid intelligence with age,The correlation between SES and IQ,The bias in standardized testing,The impact of nutrition on height,A
"Which theorist is known for the ""Ecological Systems Theory"" (Microsystem, Mesosystem, etc.)? ",Urie Bronfenbrenner,Jean Piaget,Lev Vygotsky,Erik Erikson,Sigmund Freud,A
"The ""Zone of Proximal Development"" is the gap between:",What a child knows and what they want to know,What a child can do alone and what they can do with assistance,The sensorimotor and preoperational stages,Intrinsic and extrinsic motivation,Short-term and long-term memory,B
"Which of the following is true about ""Working Memory""?",It has an unlimited capacity,It holds information for days or weeks,It is where conscious processing occurs,It is synonymous with sensory memory,It is not affected by distractions,C
"A teacher uses ""Shaping"" to teach a student to write their name. This involves:",Punishing the student for messy writing,Reinforcing successive approximations of the behavior,Waiting for the student to write it perfectly before rewarding,Showing the student a video of someone writing,Using a token economy,B
"Which of the following is a key feature of ""Cooperative Learning""?",Independent study,Competition among students,Positive interdependence,Teacher-centered instruction,Silent working environments,C
"According to Marcia's Identity Statuses, ""Identity Foreclosure"" refers to:",Exploration without commitment,Commitment without exploration,No exploration and no commitment,Achievement after exploration,A mid-life crisis,B
"The ""sensory motor"" stage is the first stage in whose theory of development?",Erikson,Freud,Piaget,Kohlberg,Vygotsky,C
"Which of the following is an example of ""Episodic Memory""?",Knowing the capital of New York,Remembering your first day of high school,Knowing how to ride a bike,Understanding the rules of grammar,Recalling the definition of psychology,B
"A score in the 5th Stanine is considered:",Below Average,Average,Above Average,Superior,Poor,B
"""Functional Fixedness"" is the inability to:",Solve math problems,Use an object for a purpose other than its intended one,Remember names,Focus attention,Control impulses,B
"Which theorist emphasized the role of ""observational learning"" and ""modeling""?",B.F. Skinner,Jean Piaget,Albert Bandura,Ivan Pavlov,Edward Thorndike,C
"According to the ""Overjustification Effect,"" providing extrinsic rewards for an intrinsically motivating activity can:",Increase intrinsic motivation,Decrease intrinsic motivation,Have no effect on motivation,Create a fixed mindset,Improve long-term retention,B
"Which law provides civil rights protection against discrimination for individuals with disabilities but does not provide funding for special education?",IDEA,Section 504,Title I,NCLB,ESSA,B
"In a ""Variable Interval"" schedule, reinforcement is given:",After a fixed number of responses,After a variable number of responses,After a fixed amount of time,After a variable amount of time,Continuously,D
"The ""Recency Effect"" suggests that when memorizing a list, people are most likely to recall:",Items at the beginning,Items in the middle,Items at the end,Items that are emotionally charged,Items that are repeated,C
"According to Thorndike, the ""Law of Exercise"" states that:",Rewards are more effective than punishments,Connections between stimuli and responses are strengthened by use/practice,Learning occurs through insight,Intelligence is fixed,Memory is reconstructive,B
"Which of the following is a ""growth need"" in Maslow's hierarchy?",Safety,Belonging,Physiological,Self-Actualization,Esteem,D
"Standardized tests that compare a student's performance to a norm group are called:",Criterion-Referenced Tests,Norm-Referenced Tests,Diagnostic Tests,Formative Assessments,Performance Assessments,B
"A ""Z-score"" of +1.0 indicates that the student scored:",At the mean,One standard deviation above the mean,One standard deviation below the mean,Two standard deviations above the mean,In the top 1%,B
"Which of the following best describes ""Self-Regulation"" in learning?",The teacher controls the pace of learning,The student monitors and controls their own learning behavior,The parents dictate study habits,The curriculum determines the learning path,The school administration sets the rules,B
"According to Erikson, the stage of ""Trust vs. Mistrust"" depends primarily on:",The infant's genetic makeup,The consistency and quality of care from the primary caregiver,The infant's interaction with peers,The development of language,Toilet training success,B
"Which of the following is an example of ""Semantic Memory""?",Remembering a family vacation,Knowing that Paris is the capital of France,Knowing how to tie a shoelace,Remembering what you ate for breakfast,Recalling a childhood injury,B
"The ""g"" factor in intelligence theories stands for:",Group Intelligence,General Intelligence,Genetic Intelligence,Global Intelligence,Graded Intelligence,B