Module 1 Sociological Perspective,Term,Definition,Key Theorist,CLEP Note
Module 1 Sociological Perspective,Sociology,"The systematic, scientific study of human society and social behavior.",Auguste Comte,"Focuses on patterns, groups, and institutions."
Module 1 Sociological Perspective,Sociological Imagination,"Ability to link personal troubles (e.g., job loss) to public issues (e.g., recession).","C. Wright Mills","Key phrase: Connecting biography to history."
Module 1 Sociological Perspective,Social Facts,"External forces (laws, morals, values) that exert control over the individual.",Émile Durkheim,"Things that exist outside the individual but govern behavior."
Module 1 Sociological Perspective,Positivism,"The belief that society can be studied scientifically using observation and statistics.",Auguste Comte,"Application of the scientific method to social life."
Module 1 Sociological Perspective,Structural Functionalism,"Macro-level theory viewing society as a complex system of interdependent parts promoting stability.",Durkheim / Parsons,"Keywords: Stability, Harmony, Function, Equilibrium."
Module 1 Sociological Perspective,Conflict Theory,"Macro-level theory viewing society as an arena of inequality and power struggles over scarce resources.",Marx / Weber / Mills,"Keywords: Power, Exploitation, Inequality, Competition."
Module 1 Sociological Perspective,Symbolic Interactionism,"Micro-level theory focusing on how people use symbols to create shared meaning in everyday interaction.",Mead / Cooley / Goffman,"Keywords: Symbols, Meaning, Interaction, Face-to-face."
Module 1 Sociological Perspective,Manifest Functions,"The recognized and intended consequences of a social pattern.","Robert Merton","Example: School is for learning math."
Module 1 Sociological Perspective,Latent Functions,"The unrecognized and unintended consequences of a social pattern.","Robert Merton","Example: School provides free childcare."
Module 1 Sociological Perspective,Dysfunction,"Undesirable consequences of a social pattern for the operation of society.","Robert Merton","Disrupts social stability."
Module 1 Sociological Perspective,Verstehen,"German term for 'understanding'; insight into the subjective meanings people attach to their actions.","Max Weber","Opposite of strict positivism; requires empathy."
Module 1 Sociological Perspective,Anomie,"A state of normlessness or confusion caused by rapid social change.",Émile Durkheim,"Often associated with suicide studies."
Module 1 Sociological Perspective,Double Consciousness,"The internal conflict of African Americans (being both Black and American).","W.E.B. Du Bois","Key terms: Two-ness, color line."
Module 1 Sociological Perspective,Research Methods,"Techniques used to gather data (surveys, participant observation, experiments).",-,"Quantitative (numbers) vs Qualitative (words)."
Module 1 Sociological Perspective,Independent Variable,"The variable presumed to cause change; the one manipulated by the researcher.",-,"The 'Cause' variable."
Module 1 Sociological Perspective,Dependent Variable,"The variable that changes in response to the independent variable.",-,"The 'Effect' variable."
Module 1 Sociological Perspective,Correlation vs Causation,"Correlation means variables change together; Causation means one directly produces the other.",-,"Trap: Correlation does NOT imply causation."
Module 1 Sociological Perspective,Hawthorne Effect,"Subjects change their behavior because they know they are being observed.",-,"Also known as the observer effect."
Module 2 Social Institutions,Institution,Function/Role,Key Concepts,CLEP Trap
Module 2 Social Institutions,Family,"Primary agent of socialization; regulates sexual behavior and reproduction.","Nuclear vs Extended, Monogamy vs Polygamy","Nuclear family is parents+kids; Extended includes kin."
Module 2 Social Institutions,Education,"Transmits knowledge, culture, and values (socialization).","Hidden Curriculum, Tracking, Credentialism","Tracking (grouping by ability) reinforces inequality."
Module 2 Social Institutions,Religion,"Provides meaning, social cohesion, and social control.","Sacred vs Profane, Totem, Sect vs Cult","Durkheim: Sacred = awe-inspiring; Profane = everyday."
Module 2 Social Institutions,Economy,"Organizes the production, distribution, and consumption of goods/services.","Capitalism vs Socialism, Post-Industrialism","Capitalism = private ownership; Socialism = collective."
Module 2 Social Institutions,Politics,"Distributes power, sets goals, and makes decisions for society.","Authority (Traditional, Rational-Legal, Charismatic)","Weber's 3 types of authority are highly tested."
Module 2 Social Institutions,Health & Medicine,"Manages illness and health maintenance in society.","Medicalization, Sick Role (Parsons)","Medicalization: defining non-medical problems as illnesses."
Module 2 Social Institutions,Matrilocality,"Custom where a married couple lives with or near the wife's family.",-,"Contrast with Patrilocality (husband's family)."
Module 2 Social Institutions,Patriarchy,"Social organization in which men dominate women.",-,"Most common historical pattern."
Module 2 Social Institutions,Hidden Curriculum,"Subtle lessons schools teach (obedience, conformity) beyond the academic subjects.",-,"Conflict theorists see this as social control."
Module 2 Social Institutions,Secularization,"The historical decline in the importance of the supernatural and religion.",-,"Opposite of religious fundamentalism."
Module 2 Social Institutions,Protestant Ethic,"Weber's theory that Calvinist beliefs in hard work fueled the rise of Capitalism.","Max Weber","Connects religion to economic change."
Module 2 Social Institutions,Sick Role,"Concept describing the rights/obligations of a sick person (exempt from duty, must seek help).","Talcott Parsons","Functionalist concept."
Module 2 Social Institutions,Iron Law of Oligarchy,"Theory that all organizations eventually become ruled by a few elites.","Robert Michels","Democracy tends to turn into Oligarchy."
Module 2 Social Institutions,Rational-Legal Authority,"Power legitimized by law and written rules (e.g., The Constitution).","Max Weber","Also called Bureaucratic Authority."
Module 2 Social Institutions,Charismatic Authority,"Power legitimized by extraordinary personal abilities (e.g., MLK Jr, Jesus).","Max Weber","Unstable; needs routinization."
Module 3 Social Patterns,Concept,Definition,Theorist/Model,Key Insight
Module 3 Social Patterns,Demography,"Scientific study of population size, composition, and distribution.",-,"Focuses on Fertility, Mortality, Migration."
Module 3 Social Patterns,Malthusian Theory,"Population grows geometrically (exponentially); Food grows arithmetically (linear).","Thomas Malthus","Prediction: Population will outstrip food supply."
Module 3 Social Patterns,Demographic Transition,"Thesis linking population patterns to a society's level of technological development.",-,"4 Stages linking birth/death rates to industrialization."
Module 3 Social Patterns,Urbanization,"The concentration of population into cities.",-,"Shift from rural to urban living."
Module 3 Social Patterns,Gemeinschaft,"Community; close personal ties, tradition-oriented, rural.","Ferdinand Tönnies","Think: 'Gemein' = Genuine/Community."
Module 3 Social Patterns,Gesellschaft,"Society; impersonal ties, self-interest, urban.","Ferdinand Tönnies","Think: 'Sell' = Selling/Business/Society."
Module 3 Social Patterns,Concentric Zone Model,"Urban growth model where cities expand in rings from a central business district.","Burgess","Ecological model of the city."
Module 3 Social Patterns,Gentrification,"Middle/upper class moving into city centers, renovating, and displacing the poor.",-,"Revitalization comes at the cost of displacement."
Module 3 Social Patterns,Fertility Rate,"The average number of children born to a woman in a population.",-,"Fertility = actual births; Fecundity = potential."
Module 3 Social Patterns,Migration,"Movement of people into and out of a specified territory.",-,"Immigration (in) vs Emigration (out)."
Module 3 Social Patterns,Population Pyramid,"Graphic representation of population distribution by age and sex.",-,"Wide base = rapid growth; Narrow base = decline."
Module 3 Social Patterns,Suburbanization,"Movement from cities to surrounding outskirts (suburbs).",-,"Facilitated by automobiles and highways."
Module 4 Social Processes,Concept,Definition,Context/Type,Trap/Note
Module 4 Social Processes,Culture,"The values, beliefs, behavior, and material objects that constitute a people's way of life.",-,"Material (objects) vs Nonmaterial (ideas)."
Module 4 Social Processes,Norms,"Rules and expectations by which a society guides the behavior of its members.",-,"Includes folkways, mores, and laws."
Module 4 Social Processes,Folkways,"Norms for routine or casual interaction (politeness).","Sanction: Minor","Violation is rude, not immoral."
Module 4 Social Processes,Mores,"Norms that are widely observed and have great moral significance.","Sanction: Severe","Violation is immoral/wrong."
Module 4 Social Processes,Ethnocentrism,"Judging another culture by the standards of one's own culture.",-,"Trap: Thinking your culture is superior."
Module 4 Social Processes,Cultural Relativism,"Judging a culture by its own standards.","Anthropological approach","Opposite of ethnocentrism."
Module 4 Social Processes,Socialization,"Lifelong process of learning culture and developing human potential.",-,"Agents: Family, School, Peers, Media."
Module 4 Social Processes,Looking-Glass Self,"We form our self-image based on how we think others see us.","Charles Cooley","'I am who I think you think I am.'"
Module 4 Social Processes,Generalized Other,"Widespread cultural norms/values we use as a reference in evaluating ourselves.","George Herbert Mead","Development of the 'Me' (social self)."
Module 4 Social Processes,Deviance,"The recognized violation of cultural norms.","Relative concept","Not always criminal; defined by reaction."
Module 4 Social Processes,Strain Theory,"Deviance results from a gap between cultural goals and the means to achieve them.","Robert Merton","Adapts: Innovator, Ritualist, Retreatist, Rebel."
Module 4 Social Processes,Labeling Theory,"Deviance is not the act, but the reaction/label applied by others.",Symbolic Interactionism,"Primary vs Secondary Deviance."
Module 4 Social Processes,Differential Association,"Deviance is learned through interaction with others (bad company).","Edwin Sutherland","Learned behavior like any other."
Module 4 Social Processes,Social Movement,"Organized activity that encourages or discourages social change.","Reform vs Revolution","Resource Mobilization Theory applies here."
Module 4 Social Processes,Bureaucracy,"Organizational model rationally designed to perform tasks efficiently.","Max Weber","Features: Hierarchy, Rules, Impersonality."
Module 4 Social Processes,Groupthink,"Tendency of group members to conform, resulting in a narrow view of some issue.","Irving Janis","Discourages dissenting opinions."
Module 5 Social Stratification,Concept,Definition,Key Distinction,CLEP Trap
Module 5 Social Stratification,Social Stratification,"System by which a society ranks categories of people in a hierarchy.",-,"Universal but variable."
Module 5 Social Stratification,Social Class,"Stratification based on birth and individual achievement (open system).","Open System","Allows for social mobility."
Module 5 Social Stratification,Caste System,"Stratification based on ascription or birth (closed system).","Closed System","No social mobility; determines marriage/job."
Module 5 Social Stratification,Social Mobility,"A change in position within the social hierarchy.",-,"Intergenerational (between gens) vs Intragenerational."
Module 5 Social Stratification,Structural Mobility,"Mobility resulting from changes in the economy (e.g., recession), not individual effort.",-,"Shift in the social structure itself."
Module 5 Social Stratification,Bourgeoisie vs Proletariat,"Marx's class conflict: Owners (Bourgeoisie) vs Workers (Proletariat).","Karl Marx","Based solely on relation to means of production."
Module 5 Social Stratification,Weber's 3 Ps,"Stratification is multidimensional: Property (Class), Prestige (Status), Power (Party).","Max Weber","Contrast with Marx's 1-dimension view."
Module 5 Social Stratification,Race vs Ethnicity,"Race = biological traits; Ethnicity = cultural heritage.",-,"Race is socially constructed."
Module 5 Social Stratification,Prejudice vs Discrimination,"Prejudice = Attitude (thought); Discrimination = Action (behavior).",-,"Prejudice is internal; Discrimination is external."
Module 5 Social Stratification,Assimilation,"Process by which minorities gradually adopt patterns of the dominant culture.",-,"'Melting Pot' concept."
Module 5 Social Stratification,Pluralism,"State in which people of all races/ethnicities are distinct but have equal social standing.",-,"'Salad Bowl' concept."
Module 5 Social Stratification,Gender vs Sex,"Sex = biological; Gender = social/cultural significance of being male/female.",-,"Gender is a social construct."
Module 5 Social Stratification,Glass Ceiling,"Invisible barrier blocking women/minorities from top corporate positions.",-,"Contrast with Glass Escalator (men in female jobs)."
Module 5 Social Stratification,Feminization of Poverty,"Trend of women making up an increasing proportion of the poor.",-,"Often due to single motherhood/wage gap."
Module 5 Social Stratification,World Systems Theory,"Global economy divides nations into Core, Semi-periphery, and Periphery.","Wallerstein","Core exploits Periphery."
Module 5 Social Stratification,Neocolonialism,"Economic dominance of a weaker country by a more powerful one without direct political control.",-,"Economic exploitation continues after independence."